Symbol
AAPL
MSFT
GOOG
GOOGL
AMZN
TSLA
NVDA
META
NFLX
INTC
AMD
ADBE
CSCO
AVGO
QCOM
TXN
ORCL
IBM
CRM
PYPL
ZM
UBER
SHOP
ABNB
SNOW
BIDU
PINS
DOCU
SQ
PLTR
COIN
ROKU
SPOT
LYFT
TTD
ZS
OKTA
NET
CRWD
MDB
DDOG
FSLY
TWLO
TEAM
PANW
NOW
WDAY
MS
JPM
